ticker_tv,ticker_yf,price,market_cap,sector,industry,technical_local,tech_score,local_label,finnhub_label,tv_reco,tv_symbol_used,tv_exchange_used,final_signal,analyst_bucket,analyst_mean,analyst_votes,avg_vol,rank_score
FSLR,FSLR,201.8699951171875,21650153236.328125,Information Technology,Semiconductors,Strong Buy,4,BUY,,,,,BUY,Strong Buy,1.58824,30.0,2555920.0,4.1
DKNG,DKNG,47.400001525878906,23532679515.953125,Consumer Discretionary,Gambling,Strong Buy,4,BUY,,,,,BUY,Strong Buy,1.47059,33.0,6606877.2,4.1
PINS,PINS,37.119998931884766,25239000279.836426,Communication Services,Internet Content & Information,Strong Buy,4,BUY,,,,,BUY,Strong Buy,1.525,36.0,6462270.6,4.1
UAL,UAL,106.05000305175781,34331779587.95166,Industrials,Passenger Airlines,Strong Buy,4,BUY,,,,,BUY,Strong Buy,1.45455,20.0,4443980.0,4.1
VICI,VICI,33.5,35723394464.0,Real Estate,Hotel & Resort REITs,Strong Buy,4,BUY,,,,,BUY,Strong Buy,1.52174,22.0,8586126.8,4.1
TTWO,TTWO,240.64999389648438,44392704374.08447,Communication Services,Interactive Home Entertainment,Strong Buy,4,BUY,,,,,BUY,Strong Buy,1.40741,27.0,1251800.0,4.1
HWM,HWM,179.52999877929688,72373213160.38281,Industrials,Aerospace & Defense,Strong Buy,4,BUY,,,,,BUY,Strong Buy,1.43478,20.0,2310890.0,4.1
MTZ,MTZ,182.50999450683594,14401498646.54541,Industrials,Construction & Engineering,Strong Buy,4,BUY,,,,,BUY,Strong Buy,1.41176,18.0,830250.0,4.02
WYNN,WYNN,122.88999938964844,12777733466.537476,Consumer Discretionary,Casinos & Gaming,Strong Buy,4,BUY,,,,,BUY,Strong Buy,1.38889,17.0,2279010.0,3.98
TKO,TKO,190.0800018310547,15660349206.8573,Communication Services,Movies & Entertainment,Strong Buy,4,BUY,,,,,BUY,Strong Buy,1.47368,17.0,666670.0,3.98
BROS,BROS,71.43000030517578,11751592791.647217,Consumer Discretionary,Restaurants,Strong Buy,4,BUY,,,,,BUY,Strong Buy,1.47059,16.0,3365618.7,3.94
INSM,INSM,142.52999877929688,30127279632.213867,Health Care,Biotechnology,Strong Buy,4,BUY,,,,,BUY,Strong Buy,1.26316,16.0,2404290.0,3.94
ALAB,ALAB,187.9499969482422,31240862046.339844,Information Technology,Semiconductors,Strong Buy,4,BUY,,,,,BUY,Strong Buy,1.5625,16.0,4236678.1,3.94
DD,DD,77.1500015258789,32304016571.711426,Materials,Specialty Chemicals,Strong Buy,4,BUY,,,,,BUY,Strong Buy,1.41176,16.0,2403580.0,3.94
